,Id,Reviews,UserName
13,114,"[""Original Product, Packing for logistics was excellent. Delivered on first promised day( took 4 days to deliver a standard time. price slight higher than company declared price and market price but it's ok in case of 0%installments"", 'Thanks to the seller for the phone the same as I ordered, the same color keeps your trust to people but guarantee card is Missing I ordered one more same mobile with an other number', 'received my package today good looking mobile in this price tag.']","['Nasir', '3***1', 'Atif S.']"
14,115,"['It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services.', 'Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.', 'Excellent 👌']","['Muhammad K.', 'Umar', 'khan K.']"
15,116,"['موبائل زبردست ہے اور بہت ہی مناسب قیمت میں ملا ہے ۔ 8 جی بی 256 جی بی میں یہ بیسٹ آپشن ہے ۔ اور سیلر بھائی نے بہت ہی تعاون کیا ۔ ہر چیز بہت بہترین طریقے سے واضح کی۔ باقاعدہ آن لائن وارنٹی بھی چیک کروائی گئی۔ جو دوست بھی لینا چاہئیں ضرور لیں انشاء اللہ نا امید نہیں ہوں گے اور انشاء اللہ اچھی چیز ملے گی۔ آرڈر کرنے کے تیسرے دن موبائل گھر پہنچ گیا ماشاءاللہ بہت ہی عمدہ سروس ۔ اللہ سبحانہ وتعالی جزائے خیر عطا فرمائیں آمین', 'Great phone and in same condition box packed sealed. Orrigional accessories. Everything is great but delivery was not good by leopard. They tell that delivery is not in that area.', 'thankyou Alhamdulillah trading co for delivering phone fast and on time. they delivered box packed genuine product. businesses like Alhamdulillah trading co are reason to trust ecommerce. keep up the good work. looking forward to do business again.']","['rizwan R.', 'Meerullah', 'smawkm']"
16,117,"['i am using this mobile for 5 days now. best mobile for basic tasks like whatsapp call youtube etc. i received it on 11.11 sale at price 15k which is too good deal. everyone appriciate its look. working smooth and battery timing is too good. 👍', 'Amazing phone within the discounted price of #11.11 I would recommend everyone if you are looking to get the basics done alright and don’t want to spend too much this is the right choice. Quality is not cheap like other phones in this budget. However I do have one complaint as the phone down have a case in the box and no warranty card. #11.11', 'Received Brand new box packed mobile. Quality Seems to be good. Performance is also fine. Excellent product, Original and value for Money.']","['bilal K.', 'Muhammad U.', 'Muhammad U.']"
17,118,"['very fast delivery and origional sealed pack mobile I am satisfied', 'سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ', 'not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful']","['faheem', 'Khurram J.', 'Malik S.']"
18,119,"[""So far it's good. Seems good. I'll update my review after checking thoroughly. By the way it's genuine product."", 'Very reasonable price, home delivery on the scheduled date, excellent packaging, unopened sealed phone box, approved from PTA, thank you daraz.', '100% genuine phone. Timely delivered. Satisfied with my order from daraz.pk highly recommended']","['Hussain', 'Faisal B.', 'Farhan K.']"
19,120,"['Mobile was repacked there was no company seal when i confirmed from MI service center they confirm that mobile was Repacked and was Activated 11 days before purchasing date and this shop owner have Assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before Purchasing.', 'Nice mobile delivery in time thanks for seller', 'thank you draz and thank you seller bohat Acha mobile Hy or same colour Jo order Kia tha bohat Acha seller Hy over all very nice and good experience']","['Asim A.', 'Faisal K.', '3***6']"
20,121,"['Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller', 'UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM', 'Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller.']","['Noman A.', 'Muneeb R.', 'Aziz U.']"
21,122,"['Mashallah 11.11 Sale Received safe packed PTA approved Dilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊', 'Quality is good. Original product. Non activated', '# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.']","['Raz M.', 'Muhammad Y.', 'AC R.']"
22,123,"['mobile ki packing bhi achi ha.or original sumsang ki packing ki halat ma received howa ha dil khush kar diya daraz ki service na', 'Thanks a lot Daraz for their phenomenal service and a great discount of 5000 the device is very reasonablekeeping the current situation of the inflation I would highly recommend this over all other Chinese brands the look and feel of the device is awesome same like the flagship series of samsung and performance is also acceptable overall the only drawback being the charger not included with the device, which adds another couple of thousand to the already inflated price But still I like the phone thanks again daraz for providing the great experience and service Thanks a lot Daraz 😊❣️💥', 'Nice Cell phone delivered safely but 1 thing is shameful that no adopter with mobile at this heavy price.. only data cable found in the box .. Great services by daraz']","['habib H.', 'UMER', 'Mrs A.']"
23,124,"['Assalam u Alaikum Received before due date original product,packing was a little poor , but seller is coprative.It was my first purchase on installment happy to get it on 0% Mark up', 'The seller was very cooperative and delivered the phone in just 3 days upon my request. The phone is just perfect and everything what I was looking for.', 'Same as described.. Amazing Packing and received just in 2 days.. Highly recommend']","['Abdul G.', 'S***n', '*******686']"
24,125,"['received Original Product of Redme... Seller Response Very Good and Early. Satisfied 👍', 'Mobile to Pinpack hai jaldi bi Ponch aya laikn delivery walo ne us adress pe nahi ponchaya jo adress dia tha balke call kr ke inform kia gaya or kaha gaya k a ke khud le jaye jiske ko laine k kiye mujhe 12 km dor ja ke kaina para bht afsos howa is bat pe.', 'Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan.']","['Muhammad U.', 'Saeed K.', 'Yar M.']"
25,126,"['Recommended seller 💯 fast shipping, pin packed.This phone has been warranty active 6 weeks ago on manufacture date by Samsung. Phone is original and has not been repacked. The warranty is 24 months and will expire september 2025.So hurry up before your favorite color is sold out.', ""In description section it says: What's in the box = 1 Phone , 1 Charger. But there is no Charger in the box. I know Samsung latest phone don't have chargers anymore, But then, why did your write it Like that. Moreover, the description/Specification Style of this phone in the daraz store was the worst thing I have ever seen. Kindly hire someone good. Other then of that, Original Seller(Samsung Flagship Store) is Selling Original/Sealed mobile phones. Good Delivery Service. So overall 3 Star"", '#RWC2. Genuine product with quick delivery.']","['M***.', '3***2', 'faizan R.']"
26,127,"['mobile bahot acha hai. 8 gb ram h aor rom 128 gb hain. software normal lag ra h. camera theek h. overall ais price m zabardast chiz h. saller bahot acha bnda h. main nay usy msg kr kr bht tang kya 😂 lkn saller nay mjhy hr bar reply di. thank you Daraz and thank you saller', 'It is the best product and the original as I have advertised, I have got no two opinions, you also order you will like daraz and service is also good and the thing is also cute and has come with absolutely good Awesome products and original Spark phone with box and charger and warranty crad thank you daraz', 'slam or thanks daraz bhot hi service ha 1din phly hi parsl rcve ho gay ha save packing Kay shat bhot hi ache device ha 2din use kry KY bad bhe koi isu ni Aya again thanks daraz']","['Shahid B.', 'Ahmad N.', '3***8']"
27,128,"['Same as shown in pix. Worth the price. Got it at a discounted rate. Seller and Product recommended. Beautiful product.', 'I received exactly what I ordered the same colour and the same 8GB, 256 Varient. The parcel was delivered on time, and the parcel packing was very good. The seller was cooperative and answered all my concerns and queries. I would recommend the seller.', '#11.11 Fast Delivery and the same product as mentioned. Not yet completely using the phone but so far satisfied. #11.11']","['Ali B.', 'IQRAR A.', 'Shahwaiz A.']"
28,129,"['Meny jo socha tha us sy kahi gunna ziyad achi cheez paayi bhut zabadast hai hai dabba pack and One year warranty m', 'thnx sir muja umeed nahe ti muja atna Acha or bahtreen mobile mali g thnx team & thnx draz😘😘😘😘', 'Bohut acha phone hai or MASHAALLAH sa delivery bhi time par hui hai or jo mena color bola tha wohi bhaja hai thank yoy so much']","['G***.', '3***1', 'aleena']"
29,130,"['Mobile is original as shown in the picture I give 5 Star to the seller honest seller But the leopard courier is third class delivery they could not deliver thier behaviour is very rude', 'Bohat zabardast phone aya h same as shown mujha pehla dar tha k fake na ho but ya fake nai tha 10/10 ❤️❤️❤️', '#11.11 .Excellent service by daraz.purchase on installment cheaper then market.thanks daraz']","['3***1', 'Fatima S.', 'Naveed A.']"
30,131,"[""I got my parcel timely I'm satisfied with my purchase. I bought it in official price before 11.11 but no gift 🎁"", ""order placed on 15th and received today (21.09.23) daraz should work on speedy delivery. packing was good. the box was sealed packed and includes a mobile, a transparent cover, sim eject pin, cable and a 67w charger. trusted supplier. the only week point of the seller is that it doesn't reply instantly. takes too much time for reply even replied after 2 to 3 days. any ways .... thanks to daraz and the supplier. Happy yo receive my order."", 'Genuine and Excellent Product. Loved the fast delivery and the mobile itself. Thanks #11.11 got it on discount. will recommend the seller and Daraz to others for quality and speed. Excellent Packing as well, Package packed in bubble wrap and was originally a sealed pin pack box. All accessories included, only handsfree missing by the company...😭 Other than that The feel of the mobile is amazing, is light weight and fast... Applied 144hz from get go. Was a lovely experience by Daraz. Thanks!']","['Muhammad A.', 'Muhammad A.', 'Muhammad A.']"
31,132,['waqt se pehly Dilevry hogai. mob b new he. jazakallah dear'],['3***6']
