Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover
335987,18-Apr-08,2,1,1,M Chinnaswamy Stadium,2,field,0
335988,19-Apr-08,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0
335989,19-Apr-08,6,5,1,Feroz Shah Kotla,5,bat,0
335990,20-Apr-08,7,2,1,Wankhede Stadium,7,bat,0
335991,20-Apr-08,1,8,1,Eden Gardens,8,bat,0
335992,21-Apr-08,5,4,1,Sawai Mansingh Stadium,4,bat,0
335993,22-Apr-08,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0
335994,23-Apr-08,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0
335995,24-Apr-08,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0
335996,25-Apr-08,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0
335997,26-Apr-08,2,5,1,M Chinnaswamy Stadium,5,field,0
335998,26-Apr-08,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0
335999,27-Apr-08,7,8,1,Dr DY Patil Sports Academy,8,field,0
336000,27-Apr-08,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0
336001,28-Apr-08,2,3,1,M Chinnaswamy Stadium,3,bat,0
336002,29-Apr-08,1,7,1,Eden Gardens,1,bat,0
336003,30-Apr-08,6,2,1,Feroz Shah Kotla,2,field,0
336004,1-May-08,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0
336005,1-May-08,5,1,1,Sawai Mansingh Stadium,5,bat,0
